XREF_HIERARCHY_KEY,FK_REPORT_KEY,HIERARCHY_GROUP_NAME,LEVEL_1_SORT,LEVEL_1,LEVEL_2_SORT,LEVEL_2,LEVEL_3_SORT,LEVEL_3,LEVEL_4_SORT,LEVEL_4,LEVEL_5_SORT,LEVEL_5,LEVEL_6_SORT,LEVEL_6,LEVEL_7_SORT,LEVEL_7,LEVEL_8_SORT,LEVEL_8,LEVEL_9_SORT,LEVEL_9,ID_NAME,ID,ID_SOURCE,ID_TABLE,ID_SCHEMA,ID_DATABASE,GROUP_FILTER_PRECEDENCE,DO_NOT_EXPAND_FLAG,IS_SECURED_FLAG,SPLIT_ACTIVE_FLAG,EXCLUSION_FLAG,CALCULATION_FLAG,ACTIVE_FLAG,VOLUME_FLAG,ID_UNPIVOT_FLAG,ID_ROW_FLAG,REMOVE_FROM_TOTALS,FILTER_GROUP_1,FILTER_GROUP_2,FILTER_GROUP_3,FILTER_GROUP_4,FILTER_GROUP_5,FILTER_GROUP_6,FORMULA_GROUP,SIGN_CHANGE_FLAG,FORMULA_PRECEDENCE,FORMULA_PARAM_REF,ARITHMETIC_LOGIC,FORMULA_PARAM2_CONST_NUMBER,FORMULA_REF_SOURCE,FORMULA_REF_TABLE,CREATE_NEW_COLUMN,UPDATED_BY,UPDATED_AT
1213,1,Midstream Budget Statement,0,Midstream Budget Statement,0,NYMEX,0,NYMEX WTI Strip Price,0,,0,,0,,0,,0,,0,,,Current,NYMEX_Strip,TBL_0_NYMEX_MIDSTREAM,CORE_MIDSTREAM,TRANSFORMATION,1,false,false,false,false,false,true,false,false,true,false,Midstream Budget Statement,Midstream Budget StatementNYMEXNYMEX WTI Strip Price,,,,,,,1,,,1,,,false,telha.ghanchi@datanexum.com,20:45.5
1214,3,Midstream Budget Statement,0,Midstream Budget Statement,0,NYMEX,1,NYMEX Less CGT Differential,0,,0,,0,,0,,0,,0,,,Current_Diff,NYMEX_Strip_ID,TLB_0_NYMEX_MIDSTREAM,CORE_MIDSTREAM,TRANSFORMATION,1,false,false,false,false,false,true,false,false,true,false,Midstream Budget Statement,Midstream Budget StatementNYMEXNYMEX Less CGT Differential,,,,,,,1,,,1,,,false,telha.ghanchi@datanexum.com,20:45.5
1215,4,Midstream Budget Statement,0,Midstream Budget Statement,1,Average Monthly Volume Summary,1,Volume by Type (Mcf),0,1PDP,0,,0,,0,,0,,0,,,1PDP,ATTRIBUTE,VW_3_FACT_REPORTING_MAPPING,CORE_MIDSTREAM,TRANSFORMATION,1,false,false,false,false,false,true,false,false,true,false,Midstream Budget Statement,Midstream Budget StatementAverage Monthly Volume SummaryVolume by Type (Mcf)1PDP,,,,,,,1,,,1,,,false,telha.ghanchi@datanexum.com,20:45.5
1216,13,Midstream Budget Statement,0,Midstream Budget Statement,1,Average Monthly Volume Summary,1,Volume by Type (Mcf),1,2PDNP,0,,0,,0,,0,,0,,,2PDNP,ATTRIBUTE,VW_3_FACT_REPORTING_MAPPING,CORE_MIDSTREAM,TRANSFORMATION,1,false,false,false,false,false,true,false,false,true,false,Midstream Budget Statement,Midstream Budget StatementAverage Monthly Volume SummaryVolume by Type (Mcf)2PDNP,,,,,,,1,,,1,,,false,telha.ghanchi@datanexum.com,20:45.5
1217,14,Midstream Budget Statement,0,Midstream Budget Statement,1,Average Monthly Volume Summary,1,Volume by Type (Mcf),2,3PUD,0,,0,,0,,0,,0,,,3PUD,ATTRIBUTE,VW_3_FACT_REPORTING_MAPPING,CORE_MIDSTREAM,TRANSFORMATION,1,false,false,false,false,false,true,false,false,true,false,Midstream Budget Statement,Midstream Budget StatementAverage Monthly Volume SummaryVolume by Type (Mcf)3PUD,,,,,,,1,,,1,,,false,telha.ghanchi@datanexum.com,20:45.5
1218,15,Midstream Budget Statement,0,Midstream Budget Statement,1,Average Monthly Volume Summary,1,Volume by Type (Mcf),3,4PROB,0,,0,,0,,0,,0,,,4PROB,ATTRIBUTE,VW_3_FACT_REPORTING_MAPPING,CORE_MIDSTREAM,TRANSFORMATION,1,false,false,false,false,false,true,false,false,true,false,Midstream Budget Statement,Midstream Budget StatementAverage Monthly Volume SummaryVolume by Type (Mcf)4PROB,,,,,,,1,,,1,,,false,telha.ghanchi@datanexum.com,20:45.5
1219,16,Midstream Budget Statement,0,Midstream Budget Statement,1,Average Monthly Volume Summary,1,Volume by Type (Mcf),4,5POSS,0,,0,,0,,0,,0,,,5POSS,ATTRIBUTE,VW_3_FACT_REPORTING_MAPPING,CORE_MIDSTREAM,TRANSFORMATION,1,false,false,false,false,false,true,false,false,true,false,Midstream Budget Statement,Midstream Budget StatementAverage Monthly Volume SummaryVolume by Type (Mcf)5POSS,,,,,,,1,,,1,,,false,telha.ghanchi@datanexum.com,20:45.5
1220,8,Midstream Budget Statement,0,Midstream Budget Statement,1,Average Monthly Volume Summary,3,Gross Gathered Volume Factors,0,Production Shrink & Line Loss,0,,0,,0,,0,,0,,,Production Shrink & Line Loss,ATTRIBUTE,VW_3_FACT_REPORTING_MAPPING,CORE_MIDSTREAM,,1,false,false,false,false,false,true,false,false,true,false,Midstream Budget Statement,Midstream Budget StatementAverage Monthly Volume SummaryGross Gathered Volume Factors,,,,,,,1,,,1,,,false,telha.ghanchi@datanexum.com,20:45.5
1221,9,Midstream Budget Statement,0,Midstream Budget Statement,1,Average Monthly Volume Summary,3,Gross Gathered Volume Factors,1,Less Plant Downtime,0,,0,,0,,0,,0,,,Plant Downtime (Plant Inlet Vols),ATTRIBUTE,VW_3_FACT_REPORTING_MAPPING,CORE_MIDSTREAM,,1,false,false,false,false,false,true,false,false,true,false,Midstream Budget Statement,Midstream Budget StatementAverage Monthly Volume SummaryGross Gathered Volume FactorsLess Plant Downtime,,,,,,,1,,,1,,,false,telha.ghanchi@datanexum.com,20:45.5
1222,10,Midstream Budget Statement,0,Midstream Budget Statement,1,Average Monthly Volume Summary,3,Gross Gathered Volume Factors,2,Voluntary Curtailment,0,,0,,0,,0,,0,,,Voluntary Curtailment,ATTRIBUTE,VW_3_FACT_REPORTING_MAPPING,CORE_MIDSTREAM,,1,false,false,false,false,false,true,false,false,true,false,Midstream Budget Statement,Midstream Budget StatementAverage Monthly Volume SummaryGross Gathered Volume FactorsVoluntary Curtailment,,,,,,,1,,,1,,,false,telha.ghanchi@datanexum.com,20:45.5
1223,11,Midstream Budget Statement,0,Midstream Budget Statement,1,Average Monthly Volume Summary,3,Gross Gathered Volume Factors,3,Less Contract Fuel,0,,0,,0,,0,,0,,,FUEL_PERCENT,ATTRIBUTE,VW_3_FACT_REPORTING_MAPPING,CORE_MIDSTREAM,,1,false,false,false,false,false,true,false,false,true,false,Midstream Budget Statement,Midstream Budget StatementAverage Monthly Volume SummaryGross Gathered Volume FactorsLess Contract Fuel,,,,,,,1,,,1,,,false,telha.ghanchi@datanexum.com,20:45.5
1223,1111,Midstream Budget Statement,0,Midstream Budget Statement,1,Average Monthly Volume Summary,3,Gross Gathered Volume Factors,4,Gross Gathered Volume (Mcf),0,,0,,0,,0,,0,,,Net Volume - Gross Volume,ATTRIBUTE,VW_3_FACT_REPORTING_MAPPING,CORE_MIDSTREAM,,1,false,false,false,false,false,true,false,false,true,false,Midstream Budget Statement,Midstream Budget StatementAverage Monthly Volume SummaryGross Gathered Volume FactorsLess Contract Fuel,,,,,,,1,,,1,,,false,telha.ghanchi@datanexum.com,20:45.5
1228,17,Midstream Budget Statement,0,Midstream Budget Statement,1,Average Monthly Volume Summary,5,BTU Factor,0,,0,,0,,0,,0,,0,,,Production Shrink & Line Loss-GAS_STREAM_BTU,ATTRIBUTE,VW_3_FACT_REPORTING_MAPPING,CORE_MIDSTREAM,,1,false,false,false,false,false,true,false,false,true,false,Midstream Budget Statement,Midstream Budget StatementAverage Monthly Volume SummaryBTU Factor,,,,,,,1,,,1,,,false,telha.ghanchi@datanexum.com,20:45.5
1229,17,Midstream Budget Statement,0,Midstream Budget Statement,1,Average Monthly Volume Summary,5,BTU Factor,0,,0,,0,,0,,0,,0,,,Plant Downtime (Plant Inlet Vols)-GAS_STREAM_BTU,ATTRIBUTE,VW_3_FACT_REPORTING_MAPPING,CORE_MIDSTREAM,,1,false,false,false,false,false,true,false,false,true,false,Midstream Budget Statement,Midstream Budget StatementAverage Monthly Volume SummaryBTU Factor,,,,,,,1,,,1,,,false,telha.ghanchi@datanexum.com,20:45.5
